bird,year,timestamp,lat,lon,bird_type,displacement_km,displacement_km_log,move_direction,ground_speed,is_moving,u_925,v_925,w_925,t_925,z_925,q_925,u_850,v_850,w_850,t_850,z_850,q_850,u_700,v_700,w_700,t_700,z_700,q_700,ws_925,ws_850,ws_700,wspeed_850,lapse_rate,daylength_h,bird_Art,bird_Bea,bird_Bergen,bird_Caley,bird_Clyde,bird_Hudson,bird_Isabel,bird_Jill,bird_Whit
Bergen,2013,2013-11-03 14:00:00,1.661,-67.76117,daylight,10.855381229438528,2.47278187669231,117.66551465133125,9.774444444,1,0.86932373046875,-3.333282470703125,0.2313213348388672,293.388427734375,7717.5703125,0.015282558277249336,-7.3456268310546875,-0.3033599853515625,0.1172637939453125,290.8095703125,14874.96875,0.013336939737200737,-4.256500244140625,0.905242919921875,-0.08239459991455078,282.25701904296875,30949.12109375,0.008454377762973309,2.3176100150496155,-6.364972369016,-4.190180874795294,7.351888248730596,11.13140869140625,12.04861111111111,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-03 15:00:00,1.534,-67.48767,daylight,33.519891675202146,3.5415357281802384,114.91249704912195,14.91888889,1,-0.253631591796875,-2.610198974609375,0.14597511291503906,293.2705078125,7731.56640625,0.01579122804105282,-8.61297607421875,-0.7122802734375,0.08557891845703125,291.2373046875,14897.95703125,0.012271672487258911,-2.6002655029296875,1.6139984130859375,-0.06984233856201172,282.2763671875,30969.44140625,0.008481559343636036,0.8694719031999473,-7.511520828413619,-3.0381868421546336,8.642378147419427,10.994140625,12.053333333333333,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-03 16:00:00,1.34583,-67.22583,daylight,35.846316153109875,3.6067556449301326,125.70794991129708,17.49111111,1,-0.7595672607421875,-1.3947296142578125,0.1511983871459961,293.739990234375,7678.02734375,0.016299687325954437,-7.376922607421875,-1.0998992919921875,0.15883445739746094,291.5009765625,14850.98828125,0.011448746547102928,-1.7191162109375,2.1808013916015625,0.23684310913085938,282.548828125,30942.375,0.008392145857214928,0.19726880281757975,-5.348119485532642,-2.6687599521516665,7.458469387777687,11.191162109375,12.06,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-03 17:00:00,1.16683,-66.9735,daylight,34.39515746265973,3.5665750159423406,125.35513103255244,7.202222222,1,-1.3065948486328125,-1.026123046875,0.04250812530517578,294.80712890625,7555.2578125,0.015934493392705917,-6.6536102294921875,-1.2722015380859375,0.103302001953125,291.6806640625,14733.5078125,0.011517520993947983,-2.3431396484375,2.011688232421875,-0.033184051513671875,282.754150390625,30831.42578125,0.008278805762529373,-0.471875609623583,-4.690409250072197,-3.0750692445472154,6.774143919309015,12.052978515625,12.066666666666666,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-03 18:00:00,0.8795,-66.762,daylight,39.66970320173141,3.7054834221725983,143.64609627865877,8.745555556,1,0.18621826171875,-1.0391387939453125,0.2620964050292969,294.93994140625,7419.2890625,0.01587587408721447,-4.3159027099609375,-0.6762847900390625,0.2345905303955078,291.87890625,14604.6328125,0.012011518701910973,-2.725189208984375,0.7341766357421875,-0.027052879333496094,282.910888671875,30712.54296875,0.0077653247863054276,0.9472770190844833,-2.01368240331969,-2.206698034971301,4.368566964015356,12.029052734375,12.076944444444445,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-03 19:00:00,0.6535,-66.59517,daylight,31.234342559588676,3.4730324233192533,143.5670784584596,9.26,1,1.2675628662109375,-0.690216064453125,0.028730392456054688,294.524658203125,7293.82421875,0.016441525891423225,-3.694061279296875,-0.0858306884765625,0.017576217651367188,292.0146484375,14480.40234375,0.012568704783916473,-4.207122802734375,0.1286163330078125,-0.8091945648193359,282.680419921875,30599.20703125,0.007453475147485733,1.30809704026773,-2.124778499812512,-2.602010058459768,3.6950582731920245,11.84423828125,12.085277777777778,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-03 20:00:00,0.47417,-66.40067,daylight,29.416429143996517,3.414982894799503,132.67660206733746,13.89,1,1.528961181640625,-1.7164764404296875,0.13585853576660156,295.075439453125,7197.1640625,0.016256187111139297,-3.801788330078125,-1.2346038818359375,0.2640552520751953,292.154052734375,14390.9140625,0.012853155843913555,-5.368408203125,-0.383392333984375,0.4017171859741211,283.191650390625,30533.23046875,0.007001672405749559,2.2876090797359856,-1.9581544038885257,-3.6869218088917353,3.9972291968015274,11.8837890625,12.091666666666667,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-03 21:00:00,0.3725,-66.29483,daylight,16.31888501314982,2.8517975253778953,133.84915080388055,0.0,0,0.96044921875,-1.0033416748046875,0.26352977752685547,295.999267578125,7202.31640625,0.015542426146566868,-4.972198486328125,-1.7669830322265625,0.07903861999511719,292.062744140625,14404.21875,0.013047234155237675,-6.1958160400390625,0.0856781005859375,-0.1291484832763672,283.419921875,30546.29296875,0.006763272453099489,1.3877205869899925,-2.3616827143151333,-4.527567723798931,5.276834924802961,12.579345703125,12.095555555555556,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-04 15:00:00,0.20167,-66.20733,daylight,11.14072471836269,2.4965654805845556,158.94205998750954,0.0,0,1.274383544921875,1.7254486083984375,-0.07334041595458984,292.724365234375,7739.71484375,0.01519281417131424,-2.3924713134765625,-0.2823486328125,-0.12049198150634766,290.62890625,14879.20703125,0.012248113751411438,-1.235260009765625,1.5452728271484375,-0.19849586486816406,281.145751953125,30913.3828125,0.009108810685575008,-1.1523178248908899,-0.5961505788804446,-1.8859192761894545,2.4090744563544226,11.57861328125,12.101666666666667,0,0,1,0,0,0,0,0,0
Bergen,2013,2013-11-04 16:00:00,0.1,-66.18367,daylight,11.607270030619926,2.534273634121827,166.899663428861,7.716666667,1,1.6832427978515625,2.70062255859375,0.05458641052246094,293.027587890625,7666.2109375,0.015178756788372993,-0.87786865234375,0.8738861083984375,-0.0024967193603515625,290.43408203125,14811.03515625,0.012955248355865479,-0.89630126953125,2.338409423828125,-0.10481452941894531,281.166015625,30834.08203125,0.009211086668074131,-2.248819061706054,-1.050118004649726,-2.4807044497349193,1.2386808714191067,11.861572265625,12.105555555555556,0,0,1,0,0,0,0,0,0
