bird,timestamp,is_interpolated_gps,is_interpolated_era5,lat,lon,height_raw,ground_speed,heading,is_moving,u_1000,v_1000,w_1000,t_1000,z_1000,q_1000,r_1000,cc_1000,u_925,v_925,w_925,t_925,z_925,q_925,r_925,cc_925,u_850,v_850,w_850,t_850,z_850,q_850,r_850,cc_850,ws_1000,ws_925,ws_850,wspeed_1000,wspeed_925,wspeed_850,wdir_1000,wdir_925,wdir_850,lapse_rate
716,2014-09-04 14:00,0,0,72.4968,77.374867,39,0.011,1.77,0,8.034378052,-3.41394043,-0.003898621,275.9567871,429.5273438,0.00317717,67.83643341,0,9.866104126,-4.40133667,0.066116333,270.0671387,6550.101563,0.002945428,90.42729187,0.0390625,10.91401672,-3.938064575,0.110737801,264.9941406,13054.11719,0.002111916,91.23006439,0.1796875,-3.164150372,-4.094498214,-3.599079849,8.729617399,10.80332241,11.60276319,113.0214434,114.0419777,109.8407785,5.072998047
716,2014-09-04 15:00,1,0,72.71386904,77.91421743,38.94633297,0.011,1.773,0,9.045974731,-3.913223267,-0.015198708,276.105957,335.9492188,0.003180724,67.56925201,0,9.927383423,-4.303283691,0.074524879,270.0695801,6456.835938,0.002956611,91.22762299,0.15625,10.15716553,-3.662948608,0.058775902,264.8010254,12959.41016,0.002215286,97.41817474,0.328125,-3.631469626,-3.994072746,-3.346934822,9.856113594,10.81994418,10.79746285,113.39296,113.4355804,109.8306752,5.268554688
716,2014-09-04 16:00,1,0,72.71452931,77.91169962,38.99854868,0.011,1.776,0,8.908248901,-3.62059021,-0.030209541,276.1486816,329.3515625,0.003129726,65.9799881,0,9.492904663,-3.762054443,-0.023324966,270.0996094,6451.066406,0.002966001,91.60015869,0,10.34246826,-3.397171021,-0.008411407,264.855957,12954.76172,0.002183812,95.53882599,0.1796875,-3.342765789,-3.466042366,-3.075004476,9.615902036,10.21118468,10.88611137,112.1183586,111.618508,108.1837027,5.243652344
716,2014-09-04 17:00,1,0,72.71514632,77.90898992,39.12942104,0.011,1.779,0,8.443557739,-2.955993652,-0.010058403,276.1347656,332.9179688,0.003206645,67.69101715,0,9.277328491,-3.229598999,-0.054121971,270.1965332,6454.652344,0.002905284,87.95926666,0.0078125,10.41255188,-3.012252808,-0.01830864,265.0249023,12959.54297,0.002115642,90.79588318,0.09375,-2.692443539,-2.940033081,-2.687549299,8.946036316,9.823397255,10.83950661,109.2945706,109.1938937,106.1346565,5.171630859
716,2014-09-04 18:00,1,0,72.71572004,77.90609139,39.31171711,0.011,1.782,0,8.388641357,-2.449020386,-0.022920609,276.1674805,305.9921875,0.003190426,67.14699554,0,8.993255615,-2.556015015,-0.056553841,270.1428223,6428.484375,0.002970128,91.10654449,0.015625,10.09429932,-2.339126587,-0.03226757,265.1452637,12934.29297,0.002072243,87.78408813,0.0859375,-2.186976477,-2.275117821,-2.024095401,8.738821698,9.349430962,10.36177552,106.2748911,105.8659265,103.0467337,4.997558594
716,2014-09-04 19:00,1,0,72.71625047,77.90300708,39.51820393,0.011,1.785,0,8.488845825,-1.993057251,-0.030650139,276.0341797,300.0234375,0.003256312,68.8476944,0,8.875686646,-2.038345337,-0.062078476,270.0651855,6419.65625,0.002991667,92.39144897,0.109375,9.829727173,-1.715698242,-0.06132412,265.2324219,12925.8125,0.002062774,87.15743256,0.1171875,-1.727670315,-1.760886686,-1.408678664,8.719677784,9.106737349,9.978334368,103.2128997,102.9339863,99.90077052,4.832763672
716,2014-09-04 20:00,1,0,72.71673759,77.89974005,39.72164855,0.011,1.788,0,8.377227783,-1.406311035,-0.021639824,275.9106445,272.796875,0.003331683,71.26908875,0,8.582489014,-1.416885376,-0.084604263,270.0571289,6390.421875,0.003023169,93.19044495,0.1796875,9.642333984,-1.039978027,-0.047645569,265.3474121,12897.99609,0.002052139,85.97395325,0.0859375,-1.144244905,-1.148409655,-0.738617146,8.494448544,8.698659773,9.69825546,99.52956328,99.37441969,96.15586427,4.709716797
716,2014-09-04 21:00,1,0,72.71718138,77.89629336,39.89481801,0.011,1.791,0,8.404647827,-0.946121216,-0.017814636,275.8422852,274.9082031,0.003363142,72.95326233,0,8.52885437,-0.869842529,-0.085384369,270.020752,6391.433594,0.003031264,93.54542542,0.2734375,9.390151978,-0.627288818,-0.044360161,265.3476563,12898.08984,0.002085996,87.50787354,0.1484375,-0.682982201,-0.602858857,-0.333504852,8.457733175,8.573096459,9.411080991,96.42281466,95.82335855,93.82184239,4.673095703
716,2014-09-04 22:00,1,0,72.71758183,77.89267005,40.01047936,0.011,1.794,0,8.97694397,-0.679000854,-0.028862,275.5048828,268.668457,0.003479912,77.44516754,0,9.092422485,-1.009994507,-0.117552757,270,6379.980469,0.002999737,92.958992,0.328125,9.054824829,-0.521255493,-0.077203751,265.3530273,12888.56641,0.002220394,93.92022705,0.3515625,-0.397635015,-0.724851248,-0.237528828,9.002586584,9.148346056,9.069815873,94.32551939,96.33848209,93.29468709,4.646972656
716,2014-09-04 23:00,1,0,72.71793893,77.88887318,40.04139965,0.011,1.797,0,8.542755127,-0.389602661,-0.01640892,275.5366211,241.8596191,0.003493129,77.49944305,0,8.780075073,-0.652420044,-0.106483459,269.916748,6353.1875,0.002955256,92.25561523,0.1015625,8.442199707,-0.203948975,-0.053334236,265.3942871,12860.05078,0.002157398,91.25148773,0.15625,-0.12152371,-0.376769861,0.060885413,8.551634662,8.804281357,8.444662875,92.61123381,94.24966096,91.38389796,4.522460938
